5.2	2.86	42.6
1.18	0.189	5.31
3.08	1.94	17.5
1.24	1.52	2.71
1.79	1.24	14.7
0.52	0.989	12.6
1.13	1.88	1.33
0.75	0.43	7.26
0.48	0.578	2.82
0.27	0.307	0.67
0.25	0.753	0.59
0.21	0.37	1.01
0.62	0.956	0.61
0.19	0.93	1.11
0.21	0.228	0.71
0.58	0.86	1.23
1.52	0.783	0.83
2.12	2.17	1.23
1.12	1.38	1.77
0.3	0.172	2.06
0.04	0.152	1.63
0.27	0.406	6.8
0.16	0.38	1.79
0.2	0.313	1.41
0.18	0.746	1.01
0.07	0.365	0.75
0.35	0.488	1.27
1.92	1.71	3.03
0.19	0.292	2.32
0.21	0.28	0.62
0.3	0.299	1.23
0.47	1.17	1.84
0.16	0.341	1.77
0.1	0.567	0.71
0.19	0.858	1.37
0.14	0.154	0.73
1.43	1.71	3.25
1.42	2.19	10.1
0.61	1.42	1.93
1.8	2.07	0.42
1.39	0.389	0.47
0.63	1.4	1.89
0.1	0.546	3.69
0.36	1.03	0.83
0.33	0.978	0.51
0.12	0.584	0.42
0.34	0.51	0.59
0.28	0.455	0.63
0.39	0.541	1.27
0.96	0.813	1.83
1.64	2	0.65
0.33	0.074	0.49
2.06	0.391	1.29
0.22	0.774	1.69
0.87	0.762	0.67
0.2	0.419	0.73
1.43	0.471	0.83
0.21	0.42	1.34
2.14	0.751	2.1
0.47	0.711	2.26
1.97	0.339	10.7
1.45	0.545	0.95
0.08	0.093	0.33
0.23	0.099	1.7
1.19	0.114	1.36
1.76	0.832	1.46
0.11	0.42	1.03
2	0.256	1.49
2.2	0.545	1.91
1.03	0.118	0.51
0.93	1.57	4.09
0.23	0.3	2.82
1.27	0.469	1.2
2.35	0.653	1.9
2.32	0.347	2.65
0.1	0.152	1.03
0.49	0.191	1.27
1.46	0.111	1.22
0.96	0.109	0.81
3.06	0.514	5.65
2.24	0.385	1.41
1.28	0.259	1.25
2.3	0.43	1.43
2.67	0.221	3.21
2	0.262	1.45
0.13	0.06	2.03
0.25	0.21	0.86
0.9	0.172	2.37
0.15	0.155	1.3
0.17	0.17	5.07
0.31	0.233	2.56
0.28	0.612	2.48
0.32	0.151	0.96
0.76	0.37	1.28
0.11	0.137	2.49
1.17	0.572	7.41
