17.7	2660	139
19.1	2755	140
18.4	2860	170
16.7	2695	111
21.2	2570	105
18.1	2780	150
18	2830	121
18.1	2875	150
19.1	2790	189
16.4	2770	183
20.5	2725	145
21.1	2700	116
16.2	2870	143
18.4	2750	114
17.3	2890	142
17.4	2835	172
19.4	2645	68
13.9	2965	169
17.4	2845	129
18.9	2650	114
14.7	2980	133
18.7	2825	166
16.8	2870	123
16.4	2995	165
15.9	2900	192
18.1	2910	120
17.7	2780	141
19.5	2635	101
17	2865	100
16.3	2920	136
16.5	2955	97
15.7	2955	123
15.9	3080	106
16.4	2945	132
16.8	2980	144
16.6	2945	100
17.1	2920	123
16.6	2865	120
16.3	2975	143
17.5	2770	63
15.8	2930	65
16.7	2975	105
16.3	2845	75
13.7	3000	177
17.2	2705	113
16.2	3100	140
17.1	2825	131
15.1	2925	118
16.7	2920	95
15.5	3125	92
